,neurônio,número
0,Nr_nothing_f,21
1,Nr_breeze_f,22
2,Nr_flash_f,23
3,Nr_stench_f,24
4,Nr_breezeflash_f,25
5,Nr_breezestench_f,26
6,Nr_breezeflashstench_f,27
7,Nr_flashstench_f,28
8,Nr_danger_f,29
9,Nr_obstruction_f,30
10,Nr_goal_f,31
11,Nr_initial_f,32
12,Nr_nothing_r,33
13,Nr_breeze_r,34
14,Nr_flash_r,35
15,Nr_stench_r,36
16,Nr_breezeflash_r,37
17,Nr_breezestench_r,38
18,Nr_breezeflashstench_r,39
19,Nr_flashstench_r,40
20,Nr_danger_r,41
21,Nr_obstruction_r,42
22,Nr_goal_r,43
23,Nr_initial_r,44
24,Nr_nothing_l,45
25,Nr_breeze_l,46
26,Nr_flash_l,47
27,Nr_stench_l,48
28,Nr_breezeflash_l,49
29,Nr_breezestench_l,50
30,Nr_breezeflashstench_l,51
31,Nr_flashstench_l,52
32,Nr_danger_l,53
33,Nr_obstruction_l,54
34,Nr_goal_l,55
35,Nr_initial_l,56
36,Nr_nothing_b,57
37,Nr_breeze_b,58
38,Nr_flash_b,59
39,Nr_stench_b,60
40,Nr_breezeflash_b,61
41,Nr_breezestench_b,62
42,Nr_breezeflashstench_b,63
43,Nr_flashstench_b,64
44,Nr_danger_b,65
45,Nr_obstruction_b,66
46,Nr_goal_b,67
47,Nr_initial_b,68
48,Nr_recuar,69
49,Nr_avaçar,70
50,Nr_perseguir_f,71
51,Nr_perseguir_l,72
52,Nr_perseguir_r,73
53,Nr_left_right,74
54,Nr_front_left,75
55,Nr_right_front,76
56,Nr_random_all,77
57,Nr_movefront,78
58,Nr_moveleft,79
59,Nr_moveright,80
60,Nr_moveback,81
