"env";"config";"exp";"energy";"current";"next_state";"next_move"
0;16x16;exp_agent1;0;200;i_ini;i_vz;3
0;16x16;exp_agent1;0;199;i_vz;i_b;3
0;16x16;exp_agent1;0;198;i_b;i_vz;3
0;16x16;exp_agent1;0;197;i_vz;i_b;2
0;16x16;exp_agent1;0;196;i_b;i_vz;0
0;16x16;exp_agent1;0;195;i_vz;i_b;1
0;16x16;exp_agent1;0;194;i_b;i_vz;0
0;16x16;exp_agent1;0;193;i_vz;i_b;2
0;16x16;exp_agent1;0;192;i_b;i_died;2
0;16x16;exp_agent1;1;200;i_ini;i_vz;3
0;16x16;exp_agent1;1;199;i_vz;i_b;2
0;16x16;exp_agent1;1;198;i_b;i_vz;0
0;16x16;exp_agent1;1;197;i_vz;i_vz;0
0;16x16;exp_agent1;1;196;i_vz;i_vz;3
0;16x16;exp_agent1;1;195;i_vz;i_vz;3
0;16x16;exp_agent1;1;194;i_vz;i_vz;0
0;16x16;exp_agent1;1;193;i_vz;i_s;0
0;16x16;exp_agent1;1;192;i_s;i_died;1
0;16x16;exp_agent1;2;200;i_ini;i_vz;3
0;16x16;exp_agent1;2;199;i_vz;i_ini;1
0;16x16;exp_agent1;2;198;i_ini;i_vz;1
0;16x16;exp_agent1;2;197;i_vz;i_vz;1
0;16x16;exp_agent1;2;196;i_vz;i_vz;2
0;16x16;exp_agent1;2;195;i_vz;i_vz;3
0;16x16;exp_agent1;2;194;i_vz;i_vz;1
0;16x16;exp_agent1;2;193;i_vz;i_vz;0
0;16x16;exp_agent1;2;192;i_vz;i_vz;2
0;16x16;exp_agent1;2;191;i_vz;i_vz;1
0;16x16;exp_agent1;2;190;i_vz;i_vz;0
0;16x16;exp_agent1;2;189;i_vz;i_vz;0
0;16x16;exp_agent1;2;188;i_vz;i_b;0
0;16x16;exp_agent1;2;187;i_b;i_died;0
0;16x16;exp_agent1;3;200;i_ini;i_vz;3
0;16x16;exp_agent1;3;199;i_vz;i_vz;0
0;16x16;exp_agent1;3;198;i_vz;i_vz;0
0;16x16;exp_agent1;3;197;i_vz;i_vz;1
0;16x16;exp_agent1;3;196;i_vz;i_vz;2
0;16x16;exp_agent1;3;195;i_vz;i_vz;1
0;16x16;exp_agent1;3;194;i_vz;i_vz;2
0;16x16;exp_agent1;3;193;i_vz;i_vz;2
0;16x16;exp_agent1;3;192;i_vz;i_vz;3
0;16x16;exp_agent1;3;191;i_vz;i_vz;1
0;16x16;exp_agent1;3;190;i_vz;i_vz;1
0;16x16;exp_agent1;3;189;i_vz;i_vz;2
0;16x16;exp_agent1;3;188;i_vz;i_vz;2
0;16x16;exp_agent1;3;187;i_vz;i_vz;3
0;16x16;exp_agent1;3;186;i_vz;i_vz;1
0;16x16;exp_agent1;3;185;i_vz;i_vz;2
0;16x16;exp_agent1;3;184;i_vz;i_vz;0
0;16x16;exp_agent1;3;183;i_vz;i_vz;2
0;16x16;exp_agent1;3;182;i_vz;i_vz;0
0;16x16;exp_agent1;3;181;i_vz;i_vz;0
0;16x16;exp_agent1;3;180;i_vz;i_vz;0
0;16x16;exp_agent1;3;179;i_vz;i_vz;1
0;16x16;exp_agent1;3;178;i_vz;i_vz;2
0;16x16;exp_agent1;3;177;i_vz;i_vz;3
0;16x16;exp_agent1;3;176;i_vz;i_vz;3
0;16x16;exp_agent1;3;175;i_vz;i_vz;2
0;16x16;exp_agent1;3;174;i_vz;i_vz;0
0;16x16;exp_agent1;3;173;i_vz;i_vz;1
0;16x16;exp_agent1;3;172;i_vz;i_vz;3
0;16x16;exp_agent1;3;171;i_vz;i_vz;0
0;16x16;exp_agent1;3;170;i_vz;i_vz;1
0;16x16;exp_agent1;3;169;i_vz;i_vz;2
0;16x16;exp_agent1;3;168;i_vz;i_vz;0
0;16x16;exp_agent1;3;167;i_vz;i_vz;3
0;16x16;exp_agent1;3;166;i_vz;i_vz;0
0;16x16;exp_agent1;3;165;i_vz;i_vz;2
0;16x16;exp_agent1;3;164;i_vz;i_vz;0
0;16x16;exp_agent1;3;163;i_vz;i_ini;3
0;16x16;exp_agent1;3;162;i_ini;i_vz;3
0;16x16;exp_agent1;3;161;i_vz;i_ini;1
0;16x16;exp_agent1;3;160;i_ini;i_vz;1
0;16x16;exp_agent1;3;159;i_vz;i_vz;0
0;16x16;exp_agent1;3;158;i_vz;i_vz;0
0;16x16;exp_agent1;3;157;i_vz;i_vz;1
0;16x16;exp_agent1;3;156;i_vz;i_vz;2
0;16x16;exp_agent1;3;155;i_vz;i_vz;2
0;16x16;exp_agent1;3;154;i_vz;i_vz;1
0;16x16;exp_agent1;3;153;i_vz;i_vz;3
0;16x16;exp_agent1;3;152;i_vz;i_vz;3
0;16x16;exp_agent1;3;151;i_vz;i_vz;2
0;16x16;exp_agent1;3;150;i_vz;i_vz;3
0;16x16;exp_agent1;3;149;i_vz;i_b;3
0;16x16;exp_agent1;3;148;i_b;i_vz;1
0;16x16;exp_agent1;3;147;i_vz;i_vz;2
0;16x16;exp_agent1;3;146;i_vz;i_vz;2
0;16x16;exp_agent1;3;145;i_vz;i_vz;1
0;16x16;exp_agent1;3;144;i_vz;i_vz;1
0;16x16;exp_agent1;3;143;i_vz;i_vz;2
0;16x16;exp_agent1;3;142;i_vz;i_vz;2
0;16x16;exp_agent1;3;141;i_vz;i_vz;3
