"env";"config";"exp";"energy";"current";"next_state";"next_move"
0;16x16;exp_agent3-4;0;200;i_ini;i_vz;3
0;16x16;exp_agent3-4;0;199;i_vz;i_b;3
0;16x16;exp_agent3-4;0;198;i_b;i_vz;0
0;16x16;exp_agent3-4;0;197;i_vz;i_s;0
0;16x16;exp_agent3-4;0;196;i_s;i_vz;1
0;16x16;exp_agent3-4;0;195;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;194;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;193;i_vz;i_s;0
0;16x16;exp_agent3-4;0;192;i_s;i_vz;3
0;16x16;exp_agent3-4;0;191;i_vz;i_s;0
0;16x16;exp_agent3-4;0;190;i_s;i_vz;0
0;16x16;exp_agent3-4;0;189;i_vz;i_s;1
0;16x16;exp_agent3-4;0;188;i_s;i_vz;1
0;16x16;exp_agent3-4;0;187;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;186;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;185;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;184;i_vz;i_b;1
0;16x16;exp_agent3-4;0;183;i_b;i_vz;1
0;16x16;exp_agent3-4;0;182;i_vz;i_b;2
0;16x16;exp_agent3-4;0;181;i_b;i_vz;1
0;16x16;exp_agent3-4;0;180;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;179;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;178;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;177;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;176;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;175;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;174;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;173;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;172;i_vz;i_b;1
0;16x16;exp_agent3-4;0;171;i_b;i_vz;1
0;16x16;exp_agent3-4;0;170;i_vz;i_b;2
0;16x16;exp_agent3-4;0;169;i_b;i_vz;2
0;16x16;exp_agent3-4;0;168;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;167;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;166;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;165;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;164;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;163;i_vz;i_b;2
0;16x16;exp_agent3-4;0;162;i_b;i_vz;2
0;16x16;exp_agent3-4;0;161;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;160;i_vz;i_f;2
0;16x16;exp_agent3-4;0;159;i_f;i_gl;2
0;16x16;exp_agent3-4;1;200;i_ini;i_vz;1
0;16x16;exp_agent3-4;1;199;i_vz;i_vz;0
0;16x16;exp_agent3-4;1;198;i_vz;i_vz;0
0;16x16;exp_agent3-4;1;197;i_vz;i_vz;0
0;16x16;exp_agent3-4;1;196;i_vz;i_b;1
0;16x16;exp_agent3-4;1;195;i_b;i_vz;2
0;16x16;exp_agent3-4;1;194;i_vz;i_b;1
0;16x16;exp_agent3-4;1;193;i_b;i_vz;2
0;16x16;exp_agent3-4;1;192;i_vz;i_vz;1
0;16x16;exp_agent3-4;1;191;i_vz;i_vz;0
0;16x16;exp_agent3-4;1;190;i_vz;i_vz;1
0;16x16;exp_agent3-4;1;189;i_vz;i_vz;2
0;16x16;exp_agent3-4;1;188;i_vz;i_vz;3
0;16x16;exp_agent3-4;1;187;i_vz;i_vz;0
0;16x16;exp_agent3-4;1;186;i_vz;i_vz;1
0;16x16;exp_agent3-4;1;185;i_vz;i_vz;2
0;16x16;exp_agent3-4;1;184;i_vz;i_vz;3
0;16x16;exp_agent3-4;1;183;i_vz;i_vz;0
0;16x16;exp_agent3-4;1;182;i_vz;i_b;3
0;16x16;exp_agent3-4;1;181;i_b;i_vz;3
0;16x16;exp_agent3-4;1;180;i_vz;i_vz;3
0;16x16;exp_agent3-4;1;179;i_vz;i_vz;2
0;16x16;exp_agent3-4;1;178;i_vz;i_vz;1
0;16x16;exp_agent3-4;1;177;i_vz;i_vz;1
0;16x16;exp_agent3-4;1;176;i_vz;i_vz;2
0;16x16;exp_agent3-4;1;175;i_vz;i_vz;2
0;16x16;exp_agent3-4;1;174;i_vz;i_vz;2
0;16x16;exp_agent3-4;1;173;i_vz;i_vz;1
0;16x16;exp_agent3-4;1;172;i_vz;i_s;2
