"env";"config";"exp";"energy";"current";"next_state";"next_move"
0;16x16;exp_agent3-4;0;200;i_ini;i_vz;0
0;16x16;exp_agent3-4;0;199;i_vz;i_ini;2
0;16x16;exp_agent3-4;0;198;i_ini;i_vz;3
0;16x16;exp_agent3-4;0;197;i_vz;i_ini;1
0;16x16;exp_agent3-4;0;196;i_ini;i_vz;2
0;16x16;exp_agent3-4;0;195;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;194;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;193;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;192;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;191;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;190;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;189;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;188;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;187;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;186;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;185;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;184;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;183;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;182;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;181;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;180;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;179;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;178;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;177;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;176;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;175;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;174;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;173;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;172;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;171;i_vz;i_b;3
0;16x16;exp_agent3-4;0;170;i_b;i_vz;1
0;16x16;exp_agent3-4;0;169;i_vz;i_b;0
0;16x16;exp_agent3-4;0;168;i_b;i_vz;1
0;16x16;exp_agent3-4;0;167;i_vz;i_ini;0
0;16x16;exp_agent3-4;0;166;i_ini;i_vz;2
0;16x16;exp_agent3-4;0;165;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;164;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;163;i_vz;i_ini;0
0;16x16;exp_agent3-4;0;162;i_ini;i_vz;2
0;16x16;exp_agent3-4;0;161;i_vz;i_b;3
0;16x16;exp_agent3-4;0;160;i_b;i_vz;1
0;16x16;exp_agent3-4;0;159;i_vz;i_ini;0
0;16x16;exp_agent3-4;0;158;i_ini;i_vz;1
0;16x16;exp_agent3-4;0;157;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;156;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;155;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;154;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;153;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;152;i_vz;i_b;0
0;16x16;exp_agent3-4;0;151;i_b;i_vz;2
0;16x16;exp_agent3-4;0;150;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;149;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;148;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;147;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;146;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;145;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;144;i_vz;i_b;0
0;16x16;exp_agent3-4;0;143;i_b;i_vz;2
0;16x16;exp_agent3-4;0;142;i_vz;i_b;1
0;16x16;exp_agent3-4;0;141;i_b;i_vz;2
0;16x16;exp_agent3-4;0;140;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;139;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;138;i_vz;i_s;2
0;16x16;exp_agent3-4;0;137;i_s;i_vz;3
0;16x16;exp_agent3-4;0;136;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;135;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;134;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;133;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;132;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;131;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;130;i_vz;i_b;0
0;16x16;exp_agent3-4;0;129;i_b;i_vz;3
0;16x16;exp_agent3-4;0;128;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;127;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;126;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;125;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;124;i_vz;i_b;1
0;16x16;exp_agent3-4;0;123;i_b;i_vz;2
0;16x16;exp_agent3-4;0;122;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;121;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;120;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;119;i_vz;i_s;3
0;16x16;exp_agent3-4;0;118;i_s;i_vz;0
0;16x16;exp_agent3-4;0;117;i_vz;i_s;2
0;16x16;exp_agent3-4;0;116;i_s;i_vz;1
0;16x16;exp_agent3-4;0;115;i_vz;i_s;3
0;16x16;exp_agent3-4;0;114;i_s;i_vz;1
0;16x16;exp_agent3-4;0;113;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;112;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;111;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;110;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;109;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;108;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;107;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;106;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;105;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;104;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;103;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;102;i_vz;i_s;0
0;16x16;exp_agent3-4;0;101;i_s;i_vz;3
0;16x16;exp_agent3-4;0;100;i_vz;i_s;1
0;16x16;exp_agent3-4;0;99;i_s;i_vz;0
0;16x16;exp_agent3-4;0;98;i_vz;i_s;2
0;16x16;exp_agent3-4;0;97;i_s;i_vz;3
0;16x16;exp_agent3-4;0;96;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;95;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;94;i_vz;i_s;0
0;16x16;exp_agent3-4;0;93;i_s;i_vz;0
0;16x16;exp_agent3-4;0;92;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;91;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;90;i_vz;i_s;2
0;16x16;exp_agent3-4;0;89;i_s;i_vz;0
0;16x16;exp_agent3-4;0;88;i_vz;i_s;1
0;16x16;exp_agent3-4;0;87;i_s;i_vz;1
0;16x16;exp_agent3-4;0;86;i_vz;i_vz;0
0;16x16;exp_agent3-4;0;85;i_vz;i_vz;2
0;16x16;exp_agent3-4;0;84;i_vz;i_b;1
0;16x16;exp_agent3-4;0;83;i_b;i_vz;2
0;16x16;exp_agent3-4;0;82;i_vz;i_s;3
0;16x16;exp_agent3-4;0;81;i_s;i_vz;1
0;16x16;exp_agent3-4;0;80;i_vz;i_b;0
0;16x16;exp_agent3-4;0;79;i_b;i_vz;2
0;16x16;exp_agent3-4;0;78;i_vz;i_b;0
0;16x16;exp_agent3-4;0;77;i_b;i_vz;3
0;16x16;exp_agent3-4;0;76;i_vz;i_s;3
0;16x16;exp_agent3-4;0;75;i_s;i_vz;0
0;16x16;exp_agent3-4;0;74;i_vz;i_vz;1
0;16x16;exp_agent3-4;0;73;i_vz;i_vz;3
0;16x16;exp_agent3-4;0;72;i_vz;i_vz;0
