"env";"config";"exp";"energy";"current";"next_state";"next_move"
0;8x8;exp_agent2-2;0;65;i_ini;i_vz;0
0;8x8;exp_agent2-2;0;64;i_vz;i_vz;0
0;8x8;exp_agent2-2;0;63;i_vz;i_vz;2
0;8x8;exp_agent2-2;0;62;i_vz;i_vz;3
0;8x8;exp_agent2-2;0;61;i_vz;i_cl;3
0;8x8;exp_agent2-2;0;60;i_cl;i_vz;1
0;8x8;exp_agent2-2;0;59;i_vz;i_vz;3
0;8x8;exp_agent2-2;0;58;i_vz;i_vz;0
0;8x8;exp_agent2-2;0;57;i_vz;i_vz;2
0;8x8;exp_agent2-2;0;56;i_vz;i_vz;0
0;8x8;exp_agent2-2;0;55;i_vz;i_vz;0
0;8x8;exp_agent2-2;0;54;i_vz;i_cl;3
0;8x8;exp_agent2-2;0;53;i_cl;i_cl;3
0;8x8;exp_agent2-2;0;52;i_cl;i_cl;3
0;8x8;exp_agent2-2;0;51;i_cl;i_cl;3
0;8x8;exp_agent2-2;0;50;i_cl;i_s;0
0;8x8;exp_agent2-2;0;49;i_s;i_vz;2
0;8x8;exp_agent2-2;0;48;i_vz;i_cl;3
0;8x8;exp_agent2-2;0;47;i_cl;i_s;0
0;8x8;exp_agent2-2;0;46;i_s;i_vz;2
0;8x8;exp_agent2-2;0;45;i_vz;i_vz;2
0;8x8;exp_agent2-2;0;44;i_vz;i_vz;0
0;8x8;exp_agent2-2;0;43;i_vz;i_cl;3
0;8x8;exp_agent2-2;0;42;i_cl;i_vz;2
0;8x8;exp_agent2-2;0;41;i_vz;i_vz;1
0;8x8;exp_agent2-2;0;40;i_vz;i_vz;3
0;8x8;exp_agent2-2;0;39;i_vz;i_cl;3
0;8x8;exp_agent2-2;0;38;i_cl;i_vz;1
0;8x8;exp_agent2-2;0;37;i_vz;i_vz;2
0;8x8;exp_agent2-2;0;36;i_vz;i_ini;2
0;8x8;exp_agent2-2;0;35;i_ini;i_vz;3
0;8x8;exp_agent2-2;0;34;i_vz;i_cl;3
0;8x8;exp_agent2-2;0;33;i_cl;i_vz;0
0;8x8;exp_agent2-2;0;32;i_vz;i_vz;0
0;8x8;exp_agent2-2;0;31;i_vz;i_vz;0
0;8x8;exp_agent2-2;0;30;i_vz;i_s;0
0;8x8;exp_agent2-2;0;29;i_s;i_vz;2
0;8x8;exp_agent2-2;0;28;i_vz;i_bs;1
0;8x8;exp_agent2-2;0;27;i_bs;i_vz;3
0;8x8;exp_agent2-2;0;26;i_vz;i_cl;3
0;8x8;exp_agent2-2;0;25;i_cl;i_cl;3
0;8x8;exp_agent2-2;0;24;i_cl;i_vz;2
0;8x8;exp_agent2-2;0;23;i_vz;i_vz;1
0;8x8;exp_agent2-2;0;22;i_vz;i_vz;3
0;8x8;exp_agent2-2;0;21;i_vz;i_vz;2
0;8x8;exp_agent2-2;0;20;i_vz;i_cl;3
0;8x8;exp_agent2-2;0;19;i_cl;i_vz;2
0;8x8;exp_agent2-2;0;18;i_vz;i_vz;0
0;8x8;exp_agent2-2;0;17;i_vz;i_vz;1
0;8x8;exp_agent2-2;0;16;i_vz;i_vz;3
0;8x8;exp_agent2-2;0;15;i_vz;i_vz;0
0;8x8;exp_agent2-2;0;14;i_vz;i_vz;2
0;8x8;exp_agent2-2;0;13;i_vz;i_vz;2
0;8x8;exp_agent2-2;0;12;i_vz;i_vz;0
0;8x8;exp_agent2-2;0;11;i_vz;i_vz;1
0;8x8;exp_agent2-2;0;10;i_vz;i_vz;0
0;8x8;exp_agent2-2;0;9;i_vz;i_b;1
0;8x8;exp_agent2-2;0;8;i_b;i_vz;3
0;8x8;exp_agent2-2;0;7;i_vz;i_vz;2
0;8x8;exp_agent2-2;0;6;i_vz;i_ini;2
0;8x8;exp_agent2-2;0;5;i_ini;i_vz;0
0;8x8;exp_agent2-2;0;4;i_vz;i_ini;2
0;8x8;exp_agent2-2;0;3;i_ini;i_vz;2
0;8x8;exp_agent2-2;0;2;i_vz;i_cl;2
0;8x8;exp_agent2-2;0;1;i_cl;i_vz;1
0;8x8;exp_agent2-2;1;65;i_ini;i_vz;2
0;8x8;exp_agent2-2;1;64;i_vz;i_cl;2
0;8x8;exp_agent2-2;1;63;i_cl;i_ini;0
0;8x8;exp_agent2-2;1;62;i_ini;i_vz;2
0;8x8;exp_agent2-2;1;61;i_vz;i_ini;0
0;8x8;exp_agent2-2;1;60;i_ini;i_vz;1
0;8x8;exp_agent2-2;1;59;i_vz;i_ini;3
0;8x8;exp_agent2-2;1;58;i_ini;i_vz;2
0;8x8;exp_agent2-2;1;57;i_vz;i_cl;2
0;8x8;exp_agent2-2;1;56;i_cl;i_ini;0
0;8x8;exp_agent2-2;1;55;i_ini;i_vz;1
0;8x8;exp_agent2-2;1;54;i_vz;i_ini;3
0;8x8;exp_agent2-2;1;53;i_ini;i_vz;2
0;8x8;exp_agent2-2;1;52;i_vz;i_vz;1
0;8x8;exp_agent2-2;1;51;i_vz;i_vz;0
0;8x8;exp_agent2-2;1;50;i_vz;i_vz;0
0;8x8;exp_agent2-2;1;49;i_vz;i_b;0
0;8x8;exp_agent2-2;1;48;i_b;i_vz;2
0;8x8;exp_agent2-2;1;47;i_vz;i_vz;1
0;8x8;exp_agent2-2;1;46;i_vz;i_vz;2
0;8x8;exp_agent2-2;1;45;i_vz;i_vz;0
0;8x8;exp_agent2-2;1;44;i_vz;i_vz;0
0;8x8;exp_agent2-2;1;43;i_vz;i_vz;2
0;8x8;exp_agent2-2;1;42;i_vz;i_s;1
0;8x8;exp_agent2-2;1;41;i_s;i_vz;3
0;8x8;exp_agent2-2;1;40;i_vz;i_vz;0
0;8x8;exp_agent2-2;1;39;i_vz;i_vz;2
0;8x8;exp_agent2-2;1;38;i_vz;i_vz;3
0;8x8;exp_agent2-2;1;37;i_vz;i_b;0
0;8x8;exp_agent2-2;1;36;i_b;i_vz;2
0;8x8;exp_agent2-2;1;35;i_vz;i_b;0
