"env";"config";"exp";"energy";"current";"next_state";"next_move"
16x16;exp_sensor5;0;200;i_ini;i_vz;0
16x16;exp_sensor5;0;199;i_vz;i_vz;3
16x16;exp_sensor5;0;198;i_vz;i_vz;2
16x16;exp_sensor5;0;197;i_vz;i_ini;1
16x16;exp_sensor5;0;196;i_ini;i_vz;0
16x16;exp_sensor5;0;195;i_vz;i_vz;1
16x16;exp_sensor5;0;194;i_vz;i_vz;2
16x16;exp_sensor5;0;193;i_vz;i_vz;2
16x16;exp_sensor5;0;192;i_vz;i_vz;1
16x16;exp_sensor5;0;191;i_vz;i_vz;1
16x16;exp_sensor5;0;190;i_vz;i_vz;2
16x16;exp_sensor5;0;189;i_vz;i_vz;1
16x16;exp_sensor5;0;188;i_vz;i_s;2
16x16;exp_sensor5;0;187;i_s;i_vz;3
16x16;exp_sensor5;0;186;i_vz;i_s;2
16x16;exp_sensor5;0;185;i_s;i_vz;2
16x16;exp_sensor5;0;184;i_vz;i_vz;2
16x16;exp_sensor5;0;183;i_vz;i_vz;2
16x16;exp_sensor5;0;182;i_vz;i_vz;1
16x16;exp_sensor5;0;181;i_vz;i_vz;0
16x16;exp_sensor5;0;180;i_vz;i_b;1
16x16;exp_sensor5;0;179;i_b;i_vz;2
16x16;exp_sensor5;0;178;i_vz;i_s;1
16x16;exp_sensor5;0;177;i_s;i_vz;1
16x16;exp_sensor5;0;176;i_vz;i_f;1
16x16;exp_sensor5;0;175;i_f;i_gl;2
16x16;exp_sensor5;1;200;i_ini;i_vz;0
16x16;exp_sensor5;1;199;i_vz;i_vz;1
16x16;exp_sensor5;1;198;i_vz;i_vz;1
16x16;exp_sensor5;1;197;i_vz;i_vz;1
16x16;exp_sensor5;1;196;i_vz;i_vz;2
16x16;exp_sensor5;1;195;i_vz;i_vz;2
16x16;exp_sensor5;1;194;i_vz;i_vz;2
16x16;exp_sensor5;1;193;i_vz;i_vz;2
16x16;exp_sensor5;1;192;i_vz;i_s;2
16x16;exp_sensor5;1;191;i_s;i_vz;3
16x16;exp_sensor5;1;190;i_vz;i_vz;3
16x16;exp_sensor5;1;189;i_vz;i_vz;2
16x16;exp_sensor5;1;188;i_vz;i_vz;3
16x16;exp_sensor5;1;187;i_vz;i_vz;3
16x16;exp_sensor5;1;186;i_vz;i_vz;2
16x16;exp_sensor5;1;185;i_vz;i_vz;1
16x16;exp_sensor5;1;184;i_vz;i_vz;1
16x16;exp_sensor5;1;183;i_vz;i_vz;0
16x16;exp_sensor5;1;182;i_vz;i_vz;1
16x16;exp_sensor5;1;181;i_vz;i_vz;1
16x16;exp_sensor5;1;180;i_vz;i_s;0
16x16;exp_sensor5;1;179;i_s;i_vz;3
16x16;exp_sensor5;1;178;i_vz;i_vz;3
16x16;exp_sensor5;1;177;i_vz;i_vz;3
16x16;exp_sensor5;1;176;i_vz;i_vz;2
16x16;exp_sensor5;1;175;i_vz;i_vz;3
16x16;exp_sensor5;1;174;i_vz;i_vz;2
16x16;exp_sensor5;1;173;i_vz;i_b;2
16x16;exp_sensor5;1;172;i_b;i_vz;1
16x16;exp_sensor5;1;171;i_vz;i_vz;0
16x16;exp_sensor5;1;170;i_vz;i_vz;3
16x16;exp_sensor5;1;169;i_vz;i_b;2
16x16;exp_sensor5;1;168;i_b;i_vz;1
16x16;exp_sensor5;1;167;i_vz;i_vz;0
16x16;exp_sensor5;1;166;i_vz;i_vz;1
16x16;exp_sensor5;1;165;i_vz;i_vz;1
16x16;exp_sensor5;1;164;i_vz;i_vz;2
16x16;exp_sensor5;1;163;i_vz;i_vz;2
16x16;exp_sensor5;1;162;i_vz;i_b;2
16x16;exp_sensor5;1;161;i_b;i_vz;1
16x16;exp_sensor5;1;160;i_vz;i_vz;1
16x16;exp_sensor5;1;159;i_vz;i_vz;0
16x16;exp_sensor5;1;158;i_vz;i_s;1
16x16;exp_sensor5;1;157;i_s;i_vz;2
16x16;exp_sensor5;1;156;i_vz;i_bs;1
16x16;exp_sensor5;1;155;i_bs;i_vz;2
16x16;exp_sensor5;1;154;i_vz;i_vz;3
16x16;exp_sensor5;1;153;i_vz;i_vz;2
16x16;exp_sensor5;1;152;i_vz;i_vz;3
16x16;exp_sensor5;1;151;i_vz;i_vz;3
16x16;exp_sensor5;1;150;i_vz;i_vz;3
16x16;exp_sensor5;1;149;i_vz;i_vz;3
16x16;exp_sensor5;1;148;i_vz;i_vz;3
16x16;exp_sensor5;1;147;i_vz;i_vz;0
16x16;exp_sensor5;1;146;i_vz;i_vz;3
16x16;exp_sensor5;1;145;i_vz;i_vz;2
16x16;exp_sensor5;1;144;i_vz;i_vz;3
16x16;exp_sensor5;1;143;i_vz;i_s;0
16x16;exp_sensor5;1;142;i_s;i_vz;3
16x16;exp_sensor5;1;141;i_vz;i_vz;3
16x16;exp_sensor5;1;140;i_vz;i_vz;0
16x16;exp_sensor5;1;139;i_vz;i_s;1
16x16;exp_sensor5;1;138;i_s;i_vz;0
16x16;exp_sensor5;1;137;i_vz;i_bs;1
16x16;exp_sensor5;1;136;i_bs;i_vz;1
16x16;exp_sensor5;1;135;i_vz;i_s;2
16x16;exp_sensor5;1;134;i_s;i_vz;2
16x16;exp_sensor5;1;133;i_vz;i_s;3
16x16;exp_sensor5;1;132;i_s;i_vz;2
16x16;exp_sensor5;1;131;i_vz;i_vz;1
16x16;exp_sensor5;1;130;i_vz;i_vz;1
16x16;exp_sensor5;1;129;i_vz;i_vz;1
16x16;exp_sensor5;1;128;i_vz;i_b;0
16x16;exp_sensor5;1;127;i_b;i_vz;1
16x16;exp_sensor5;1;126;i_vz;i_vz;1
16x16;exp_sensor5;1;125;i_vz;i_vz;0
16x16;exp_sensor5;1;124;i_vz;i_b;3
16x16;exp_sensor5;1;123;i_b;i_vz;2
16x16;exp_sensor5;1;122;i_vz;i_b;3
16x16;exp_sensor5;1;121;i_b;i_vz;2
16x16;exp_sensor5;1;120;i_vz;i_vz;3
16x16;exp_sensor5;1;119;i_vz;i_vz;0
16x16;exp_sensor5;1;118;i_vz;i_vz;3
16x16;exp_sensor5;1;117;i_vz;i_s;0
16x16;exp_sensor5;1;116;i_s;i_b;1
16x16;exp_sensor5;1;115;i_b;i_vz;2
16x16;exp_sensor5;1;114;i_vz;i_vz;3
16x16;exp_sensor5;1;113;i_vz;i_vz;2
16x16;exp_sensor5;1;112;i_vz;i_vz;1
16x16;exp_sensor5;1;111;i_vz;i_vz;0
16x16;exp_sensor5;1;110;i_vz;i_vz;3
16x16;exp_sensor5;1;109;i_vz;i_s;3
16x16;exp_sensor5;1;108;i_s;i_vz;2
16x16;exp_sensor5;1;107;i_vz;i_vz;3
16x16;exp_sensor5;1;106;i_vz;i_vz;0
16x16;exp_sensor5;1;105;i_vz;i_vz;3
16x16;exp_sensor5;1;104;i_vz;i_vz;2
16x16;exp_sensor5;1;103;i_vz;i_vz;1
16x16;exp_sensor5;1;102;i_vz;i_vz;1
16x16;exp_sensor5;1;101;i_vz;i_s;0
16x16;exp_sensor5;1;100;i_s;i_vz;3
16x16;exp_sensor5;1;99;i_vz;i_vz;3
16x16;exp_sensor5;1;98;i_vz;i_vz;0
16x16;exp_sensor5;1;97;i_vz;i_s;1
16x16;exp_sensor5;1;96;i_s;i_vz;2
16x16;exp_sensor5;1;95;i_vz;i_vz;2
16x16;exp_sensor5;1;94;i_vz;i_vz;3
16x16;exp_sensor5;1;93;i_vz;i_vz;0
16x16;exp_sensor5;1;92;i_vz;i_vz;1
16x16;exp_sensor5;1;91;i_vz;i_s;1
16x16;exp_sensor5;1;90;i_s;i_vz;1
16x16;exp_sensor5;1;89;i_vz;i_s;0
16x16;exp_sensor5;1;88;i_s;i_vz;0
16x16;exp_sensor5;1;87;i_vz;i_bs;3
16x16;exp_sensor5;1;86;i_bs;i_vz;3
16x16;exp_sensor5;1;85;i_vz;i_s;2
16x16;exp_sensor5;1;84;i_s;i_vz;2
16x16;exp_sensor5;1;83;i_vz;i_vz;2
16x16;exp_sensor5;1;82;i_vz;i_vz;1
16x16;exp_sensor5;1;81;i_vz;i_s;0
16x16;exp_sensor5;1;80;i_s;i_vz;3
16x16;exp_sensor5;1;79;i_vz;i_vz;2
16x16;exp_sensor5;1;78;i_vz;i_vz;3
16x16;exp_sensor5;1;77;i_vz;i_vz;0
16x16;exp_sensor5;1;76;i_vz;i_vz;0
16x16;exp_sensor5;1;75;i_vz;i_vz;0
16x16;exp_sensor5;1;74;i_vz;i_vz;1
16x16;exp_sensor5;1;73;i_vz;i_bs;1
